date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:56	47587/47587	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2015:08:45%20GMT	https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/presentationeef9.html	(from )
22:05:57	5251/5251	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2016:35:57%20GMT	https://demos.creative-tim.com/robots.txt		(from )
22:05:57	2446/2446	---M--	200	added ('OK')	image/png	etag:%225bf6c67d-98e%22	https://demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:05:57	2761/2761	---M--	200	added ('OK')	image/png	etag:%225bf6c67d-ac9%22	https://demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:05:59	47587/47587	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2015:08:45%20GMT	https://demos.creative-tim.com/material-kit-pro/presentation.html	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/presentation.html	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:05:59	151931/151931	---M--	200	added ('OK')	image/jpeg	etag:%225992bdb8ab9745a2fcccde54072ba233%22	https://s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.jpg	C:/My%20Web%20Sites/new/s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:05:59	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/new/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:00	390824/390824	---M-Z	200	added ('OK')	text/css	etag:W/%225bf6c67d-5f6a8%22	https://demos.creative-tim.com/material-kit-pro/assets/css/material-kit.min.css?v=2.1.1	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/assets/css/material-kit.min1036.css	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:00	6617/6617	---M-Z	200	added ('OK')	text/css	etag:W/%225bf6c67d-19d9%22	https://demos.creative-tim.com/material-kit-pro/assets/demo/demo.css	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:00	6556/6556	---M-Z	200	added ('OK')	text/css	etag:W/%225bf6c67d-199c%22	https://demos.creative-tim.com/material-kit-pro/assets/demo/vertical-nav.css	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/assets/demo/vertical-nav.css	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2021%20Dec%202018%2016:36:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/new/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Dec%202018%2016:36:01%20GMT	http://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.b.delayed	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
22:06:02	220166/220166	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2015:08:45%20GMT	https://demos.creative-tim.com/material-kit-pro/index.html	C:/My%20Web%20Sites/new/demos.creative-tim.com/material-kit-pro/index.html	(from https://demos.creative-tim.com/material-kit-pro/presentation.html?_ga=2.133122375.892686923.1545365845-78088080.1541223491)
